,Timestamp,Impressions
0,2021-09-11 14:42:40,8783
1,2021-09-11 14:44:07,9074
2,2021-09-11 14:51:10,9870
3,2021-09-11 14:52:45,10068
4,2021-09-11 15:07:39,10150
5,2021-09-11 15:17:17,10150
6,2021-09-11 15:20:44,10973
7,2021-09-11 15:26:12,15511
8,2021-09-11 15:28:08,15547
9,2021-09-11 15:29:27,27201
10,2021-09-11 15:31:29,27252
11,2021-09-11 15:32:52,27443
12,2021-09-11 15:35:53,27474
13,2021-09-11 15:37:03,28102
14,2021-09-11 15:45:10,28127
15,2021-09-11 15:48:03,28187
16,2021-09-11 15:49:53,28204
17,2021-09-11 16:00:19,28320
18,2021-09-11 16:03:33,28324
19,2021-09-11 16:05:12,28590
20,2021-09-11 16:09:44,28673
21,2021-09-11 16:11:57,30169
22,2021-09-11 16:12:08,30188
23,2021-09-11 16:12:32,30696
24,2021-09-11 16:13:46,30797
25,2021-09-11 16:19:52,31581
26,2021-09-11 16:19:54,31743
27,2021-09-11 16:21:54,31831
28,2021-09-11 16:23:16,32012
29,2021-09-11 16:27:40,32429
30,2021-09-11 16:30:50,32494
31,2021-09-11 16:33:23,32602
32,2021-09-11 16:36:41,32716
33,2021-09-11 16:38:43,32763
34,2021-09-11 16:39:18,33926
35,2021-09-11 16:40:31,34444
36,2021-09-11 16:44:52,34620
37,2021-09-11 16:46:06,34639
38,2021-09-11 16:49:50,34836
39,2021-09-11 16:50:03,35230
40,2021-09-11 16:50:32,35272
41,2021-09-11 16:52:55,35290
42,2021-09-11 16:55:44,35465
43,2021-09-11 17:03:26,35843
44,2021-09-11 17:04:01,35988
45,2021-09-11 17:09:24,36113
46,2021-09-11 17:13:26,36251
47,2021-09-11 17:14:02,36463
48,2021-09-11 17:15:07,36874
49,2021-09-11 17:19:54,36896
50,2021-09-11 17:24:47,37156
51,2021-09-11 17:27:00,37331
52,2021-09-11 17:28:34,37546
53,2021-09-11 17:31:21,37579
54,2021-09-11 17:32:46,37626
55,2021-09-11 17:33:30,37661
56,2021-09-11 17:37:40,37758
57,2021-09-11 17:38:15,38827
58,2021-09-11 17:40:55,39323
59,2021-09-11 17:44:02,39521
60,2021-09-11 17:45:29,39540
61,2021-09-11 17:45:50,39884
62,2021-09-11 17:51:14,40148
63,2021-09-11 17:51:15,40157
64,2021-09-11 17:52:12,40247
65,2021-09-11 17:52:51,40428
66,2021-09-11 17:56:11,40685
67,2021-09-11 17:57:59,40828
68,2021-09-11 17:58:47,40912
69,2021-09-11 17:58:54,40985
70,2021-09-11 18:02:33,41299
71,2021-09-11 18:05:09,41403
72,2021-09-11 18:06:16,41438
73,2021-09-11 18:08:28,41440
74,2021-09-11 18:09:28,41543
75,2021-09-11 18:09:35,41547
76,2021-09-11 18:11:17,41588
77,2021-09-11 18:16:26,41609
78,2021-09-11 18:16:52,41841
79,2021-09-11 18:20:43,41845
80,2021-09-11 18:28:40,41857
81,2021-09-11 18:32:28,41880
82,2021-09-11 18:34:11,41895
83,2021-09-11 18:35:46,42514
84,2021-09-11 18:36:29,42668
85,2021-09-11 18:40:15,42711
86,2021-09-11 18:40:54,42896
87,2021-09-11 18:58:49,43028
88,2021-09-11 19:02:13,43177
89,2021-09-11 19:02:39,43199
90,2021-09-11 19:04:58,43199
91,2021-09-11 19:11:27,44330
92,2021-09-11 19:12:44,44330
93,2021-09-11 19:13:28,44378
94,2021-09-11 19:15:06,44408
95,2021-09-11 19:18:58,44408
96,2021-09-11 19:26:50,44465
97,2021-09-11 19:28:16,44474
98,2021-09-11 19:28:28,44493
99,2021-09-11 19:32:03,44646
100,2021-09-11 19:32:49,44906
101,2021-09-11 19:32:53,45257
102,2021-09-11 19:35:43,45632
103,2021-09-11 19:36:49,46073
104,2021-09-11 19:37:48,46697
105,2021-09-11 19:42:36,46842
106,2021-09-11 19:43:27,46888
107,2021-09-11 19:52:03,46904
108,2021-09-11 19:59:15,46935
109,2021-09-11 19:59:44,47154
110,2021-09-11 20:06:00,47513
111,2021-09-11 20:17:11,47926
